all_riders,rider_class,stage,points,stage_class
Filippo Ganna,Unclassed,X3,0,Flat
Filippo Ganna,Unclassed,X4,0,Hills
Filippo Ganna,Unclassed,X6,0,Hills
Filippo Ganna,Unclassed,X7,0,Hills
Filippo Ganna,Unclassed,X8,0,Flat
Filippo Ganna,Unclassed,X9,0,Flat
Filippo Ganna,Unclassed,X10,0,Hills
Filippo Ganna,Unclassed,X11,0,Hills
Filippo Ganna,Unclassed,X12,0,Mount
Filippo Ganna,Unclassed,X14,0,Mount
Filippo Ganna,Unclassed,X15,0,Hills
Filippo Ganna,Unclassed,X16,0,Mount
Filippo Ganna,Unclassed,X17,0,Flat
Filippo Ganna,Unclassed,X18,0,Mount
Filippo Ganna,Unclassed,X19,0,Mount
Filippo Ganna,Unclassed,X20,0,Hills
Filippo Ganna,Unclassed,X21,0,Flat
Geraint Thomas,All Rounder,X1,0,Flat
Geraint Thomas,All Rounder,X2,0,Hills
Geraint Thomas,All Rounder,X3,0,Flat
Geraint Thomas,All Rounder,X4,0,Hills
Geraint Thomas,All Rounder,X6,0,Hills
Geraint Thomas,All Rounder,X7,28,Hills
Geraint Thomas,All Rounder,X8,0,Flat
Geraint Thomas,All Rounder,X9,0,Flat
Geraint Thomas,All Rounder,X10,4,Hills
Geraint Thomas,All Rounder,X11,0,Hills
Geraint Thomas,All Rounder,X12,0,Mount
Geraint Thomas,All Rounder,X14,8,Mount
Geraint Thomas,All Rounder,X15,0,Hills
Geraint Thomas,All Rounder,X16,0,Mount
Geraint Thomas,All Rounder,X17,0,Flat
Geraint Thomas,All Rounder,X18,0,Mount
Geraint Thomas,All Rounder,X19,8,Mount
Geraint Thomas,All Rounder,X20,0,Hills
Geraint Thomas,All Rounder,X21,0,Flat
Biniam Girmay,Sprinter,X1,226,Flat
Biniam Girmay,Sprinter,X2,12,Hills
Biniam Girmay,Sprinter,X3,122,Flat
Biniam Girmay,Sprinter,X4,13,Hills
Biniam Girmay,Sprinter,X6,16,Hills
Biniam Girmay,Sprinter,X7,10,Hills
Biniam Girmay,Sprinter,X8,22,Flat
Biniam Girmay,Sprinter,X9,124,Flat
Biniam Girmay,Sprinter,X10,6,Hills
Biniam Girmay,Sprinter,X11,4,Hills
Biniam Girmay,Sprinter,X12,4,Mount
Biniam Girmay,Sprinter,X14,16,Mount
Biniam Girmay,Sprinter,X15,4,Hills
Biniam Girmay,Sprinter,X16,6,Mount
Biniam Girmay,Sprinter,X17,11,Flat
Biniam Girmay,Sprinter,X18,22,Mount
Biniam Girmay,Sprinter,X19,22,Mount
Biniam Girmay,Sprinter,X20,6,Hills
Biniam Girmay,Sprinter,X21,53,Flat
Thibau Nys,Unclassed,X1,0,Flat
Thibau Nys,Unclassed,X2,0,Hills
Thibau Nys,Unclassed,X3,4,Flat
Thibau Nys,Unclassed,X4,0,Hills
Thibau Nys,Unclassed,X6,4,Hills
Thibau Nys,Unclassed,X7,0,Hills
Thibau Nys,Unclassed,X8,8,Flat
